DAOpen,CLOpen,CLHigh,CLLow,CLClose,CLAdjClose,CLVolume,DATmrwHigh
36.40000153,92.47000122,93.86000061,92.23000336,93.54000092,93.54000092,258890,37.49000168
36.04000092,93.34999847,94.63999939,92.73999786,94.56999969,94.56999969,261246,36.72999954
36.00999832,94.33999634,94.90000153,90.86000061,91.16000366,91.16000366,429251,36.34999847
35.34999847,91.36000061,92.95999908,90.47000122,90.73000336,90.73000336,389246,36.52999878
35.33000183,90.73999786,91.54000092,88.18000031,91.01000214,91.01000214,449554,35.38999939
35.97000122,91.37999725,91.79000092,89.36000061,89.73999786,89.73999786,342795,35.99000168
37.31999969,89.76999664,90.73999786,88.76000214,90.33999634,90.33999634,276614,37.13999939
35.65000153,90.44999695,90.56999969,88.37999725,88.84999847,88.84999847,300113,37.31999969
35.68000031,88.43000031,88.62999725,86.83000183,87.30999756,87.30999756,373752,35.81999969
35.50999832,87.73000336,87.94999695,84.05999756,85.76999664,85.76999664,345020,35.74000168
33.81000137,84.38999939,86.29000092,83.58999634,85.81999969,85.81999969,396528,35.93999863
33.29999924,85.19999695,85.87000275,84.06999969,85.73999786,85.73999786,292345,34.11999893
31.70999908,84.98000336,85.59999847,81.31999969,81.83999634,81.83999634,475832,33.31000137
31.07999992,82.31999969,82.44999695,80.01000214,81.77999878,81.77999878,487721,33.27000046
31.29999924,81.05999756,84.83000183,79.77999878,82.69999695,82.69999695,424524,33.5
34.56999969,83.18000031,84.44999695,82.44000244,82.75,82.75,174142,34.11999893
35.50999832,83.12999725,83.48000336,81.55000305,82.70999908,82.70999908,83702,35.13999939
36.77000046,82.76000214,84.05000305,82.29000092,82.80999756,82.80999756,297522,36.13000107
37.65999985,82.55000305,83.15000153,80.22000122,80.51999664,80.51999664,352217,37.59000015
37.61999893,80.41999817,82.37000275,80.05000305,82.08999634,82.08999634,354839,37.86000061
37.99000168,81.94999695,81.94999695,80.36000061,81.01000214,81.01000214,272509,38.95999908
39.38000107,81.26999664,81.29000092,79.44000244,81,81,285327,39.49000168
40.06999969,80.63999939,81.66000366,80.36000061,81.41999817,81.41999817,226066,40.09999847
39.72000122,81.55000305,82.87999725,81.44000244,82.19999695,82.19999695,283762,40.15000153
39.63999939,81.93000031,82.08999634,80.72000122,81.12000275,81.12000275,270072,39.83000183
39.93000031,81.04000092,81.26999664,79.55000305,80.54000092,80.54000092,294183,39.81999969
40.27999878,80.58999634,80.98000336,78.08000183,78.77999878,78.77999878,386045,40.40000153
41.5,78.22000122,78.41000366,75.83999634,77.19000244,77.19000244,432757,40.74000168
42.77999878,77.36000061,79.34999847,76.45999908,78.68000031,78.68000031,447691,42.86000061
42.11999893,78.87000275,78.98000336,77.12000275,77.91000366,77.91000366,292897,42.77999878
42.95000076,77.86000061,79.41000366,77.47000122,78.65000153,78.65000153,306077,43.61000061
42.29000092,78.5,79.84999847,77.12999725,77.40000153,77.40000153,319492,43
43.56999969,77.18000031,78.04000092,76.41999817,77.94000244,77.94000244,314309,43.40000153
43.40000153,77.5,78.08000183,76.62999725,77.18000031,77.18000031,359951,44.27999878
43.58000183,76.94999695,77.16000366,74.06999969,74.20999908,74.20999908,447012,43.79000092
43.93999863,74.36000061,76.30000305,73.25,75.81999969,75.81999969,355245,44.40999985
43.65999985,75.93000031,76.18000031,74.70999908,75.63999939,75.63999939,279462,44.13999939
43.52999878,75.48999786,76.44000244,74.12000275,74.61000061,74.61000061,186214,44.18999863
44.33000183,74.23000336,75.40000153,73.87999725,74.58000183,74.58000183,116278,45.20999908
44,74.25,75.76000214,74.16999817,75.58000183,75.58000183,236720,44.95000076
44.16999817,76.29000092,77.83000183,75.62000275,76.51000214,76.51000214,275317,44.63999939
43.47000122,76.62000275,77.01999664,75.44999695,75.77999878,75.77999878,194751,44.29000092
43.56999969,75.51000214,76.58000183,73.70999908,74.08999634,74.08999634,294447,44.06999969
44.22999954,73.87000275,74.48000336,73.30000305,73.69000244,73.69000244,258382,44.33000183
46.38999939,73.5,73.55999756,65.69000244,66.15000153,66.15000153,552882,44.41999817
46.54999924,66,69.54000092,63.72000122,69,69,504122,47.18999863
44.93000031,69.23999786,69.31999969,66.66999817,66.87999725,66.87999725,360300,46.72999954
45.13999939,67.59999847,68.23000336,66.80000305,67.37999725,67.37999725,293483,46.27999878
46.06999969,67.40000153,68.22000122,66.08999634,66.80999756,66.80999756,237011,45.5
46.86000061,66.80000305,66.88999939,65.16999817,65.83999634,65.83999634,276529,46.93999863
47.06000137,65.45999908,65.55000305,62.77999878,63.04999924,63.04999924,330077,47.63000107
45.93999863,63.00999832,64.19999695,62.25,63.81999969,63.81999969,322804,47.66999817
46.88999939,63.33000183,63.43000031,60.43000031,60.93999863,60.93999863,456172,46.36000061
