DAOpenYesterday,CLOpenYesterday,DAOpenToday,CLOpenToday,CLHighYesterday,CLLowYesterday,CLCloseYesterday,CLAdjCloseYesterday,CLVolumeYesterday,target_DAHighToday,target_DALowToday,target_DACloseToday,target_DAAdjCloseToday,target_DAVolumeToday
33.11000061,99.48999786,33.45999908,99.43000031,100.2900009,99.05000305,99.59999847,99.59999847,151710,34.50999832,33.45999908,34.43000031,30.57579803,11544300
33.45999908,99.43000031,34.5,99.18000031,100.25,98.80000305,99.19000244,99.19000244,217013,34.54999924,33.90999985,33.95999908,30.15840721,12058800
34.5,99.18000031,33.90000153,100.3000031,100.4599991,99.09999847,100.2600021,100.2600021,211367,34.29000092,32.97000122,34.13000107,30.30937576,11952200
33.90000153,100.3000031,34.13999939,101.3399963,101.6999969,100.0299988,101.2799988,101.2799988,202200,34.68999863,33.50999832,33.52999878,29.77654266,10434900
34.13999939,101.3399963,33.75,101.6900024,102.2399979,101.1800003,101.6699982,101.6699982,166326,34.90999985,33.75,34.65000153,30.77116013,10215900
33.75,101.6900024,34.93000031,101.5299988,101.9700012,100.8799973,101.5800018,101.5800018,167570,35.77999878,34.91999817,35.75,31.74803352,11630500
34.93000031,101.5299988,35.90999985,99.63999939,101.5699997,99.27999878,99.73999786,99.73999786,237564,36.52000046,35.52999878,35.70000076,31.70362473,12018200
35.90999985,99.63999939,35.72999954,99.29000092,99.83000183,98.86000061,99.62000275,99.62000275,231596,36.06999969,34.97000122,35.36999893,31.41057014,8904100
35.72999954,99.29000092,35.68999863,100.3799973,100.4899979,99.06999969,100.2900009,100.2900009,195430,35.70000076,34.47999954,34.61000061,30.73564148,9353600
35.68999863,100.3799973,34.50999832,100.9100037,101.6299973,100.2799988,101.1399994,101.1399994,193532,35.36999893,33.68999863,33.99000168,30.18505669,13775500
34.50999832,100.9100037,33.90000153,100.6900024,101.3199997,99.91999817,100.4400024,100.4400024,254884,34.27999878,32.40999985,33.50999832,29.75878334,16158400
33.90000153,100.6900024,33.72999954,102.3499985,102.7099991,100.6800003,102.5599976,102.5599976,299549,34.81999969,33.43000031,34.72999954,30.84220886,9554000
33.72999954,102.3499985,35.09999847,103.4400024,103.7699966,102.0299988,103.5999985,103.5999985,324660,35.13999939,33,33.00999832,29.31475258,14715400
35.09999847,103.4400024,32.88000107,103.3399963,103.8099976,103.0999985,103.4000015,103.4000015,222169,33.84999847,32.27000046,32.52000046,28.87960243,12681600
32.88000107,103.3399963,32.86000061,103.5599976,104.4400024,103.0100021,103.7399979,103.7399979,261915,33,31.12999916,31.72999954,28.17804337,15615700
32.86000061,103.5599976,31.79999924,103.5999985,104.5500031,103.3399963,104.0500031,104.0500031,237213,32.43000031,30.54000092,31.90999985,28.33788681,19269200
31.79999924,103.5999985,32.22000122,103.7600021,104.0500031,102.9100037,103.75,103.75,215848,33.72999954,32.16999817,33.61999893,29.85647202,14163400
32.22000122,103.7600021,33.61000061,103.8399963,104.9899979,103.1200027,103.7600021,103.7600021,279392,33.88000107,32.88000107,33.75999832,29.98080063,13151800
33.61000061,103.8399963,33.58000183,104.5400009,104.7799988,103.5400009,104.3000031,104.3000031,191342,34.08000183,33.25,33.93999863,30.14064598,8893100
33.58000183,104.5400009,34.18000031,104.3600006,104.7699966,103.8499985,104.3700027,104.3700027,115095,35.25,34.16999817,34.95000076,31.0375843,14105200
34.18000031,104.3600006,36.86999893,101.8600006,104.3600006,101.6900024,102.1299973,102.1299973,323723,37.40999985,36,37.09000015,32.93802261,22024400
36.86999893,101.8600006,37.15000153,101.5400009,102.0800018,101.1999969,101.4400024,101.4400024,250645,37.47000122,36.33000183,36.72999954,32.61832809,16534100
37.15000153,101.5400009,36.5,101.9300003,102.3499985,101.4000015,101.9400024,101.9400024,202278,36.61000061,35.77999878,36.06999969,32.03220749,10323800
36.5,101.9300003,36.20000076,100.4899979,102.0500031,100.4800034,100.5999985,100.5999985,221601,36.66999817,35.13000107,35.84000015,31.8279686,12646300
36.20000076,100.4899979,36.02000046,100.8899994,101.5199966,100.3300018,100.8399963,100.8399963,231590,36.75,35.86999893,36.74000168,32.62721634,10035400
36.02000046,100.8899994,36.81000137,100.7600021,102.1999969,100.7099991,101.2799988,101.2799988,218691,37.18000031,36.29999924,36.83000183,32.70712662,11962800
36.81000137,100.7600021,37,99.72000122,100.7600021,99.34999847,99.73999786,99.73999786,282979,37.52999878,36.97000122,37.11999893,32.96467209,11867300
37,99.72000122,37.11000061,99.16999817,99.88999939,98.73999786,99.41999817,99.41999817,235455,37.47000122,36.56000137,37.22999954,33.06235504,9365600
37.11000061,99.16999817,37.00999832,99.95999908,100.1399994,99.16999817,99.76000214,99.76000214,213631,37.70000076,36.63000107,37.54999924,33.34654236,8766600
37.00999832,99.95999908,38.45000076,99.37999725,100.4400024,98.91000366,99.48000336,99.48000336,190002,38.81999969,37.45999908,37.68999863,33.47085953,13277500
38.45000076,99.37999725,37.81000137,99.83000183,100.4199982,99.31999969,99.5,99.5,251208,38.25999832,37.31000137,38.24000168,34.01343536,10513500
37.81000137,99.83000183,38.06999969,100.8199997,100.9899979,99.77999878,100.7699966,100.7699966,291271,38.58000183,37.5,37.70000076,33.5331192,11164100
38.06999969,100.8199997,37.81999969,100.2699966,100.9300003,99.87000275,100.2600021,100.2600021,252605,37.81999969,36.95000076,37.66999817,33.50643539,9852300
37.81999969,100.2699966,37.77000046,100.1200027,101.1800003,99.70999908,99.98999786,99.98999786,271341,38.68999863,37.74000168,38.65000153,34.37812042,8269600
37.77000046,100.1200027,38.52000046,100.6299973,100.9300003,99.93000031,100.5899963,100.5899963,211648,39.11000061,38.36999893,38.77999878,34.49376678,6636500
38.52000046,100.6299973,38.63999939,101.9100037,102.0500031,100.3600006,101.6999969,101.6999969,253588,38.86000061,38.18999863,38.43999863,34.19132996,8417700
38.63999939,101.9100037,38.08000183,102.0299988,102.6500015,101.8300018,102.3700027,102.3700027,234477,38.36000061,37.33000183,38.13000107,33.91559982,11211400
38.08000183,102.0299988,38.04000092,101.5599976,102.2600021,101.2699966,101.5,101.5,276060,38.18999863,37.40999985,37.86000061,33.67544174,9214000
38.04000092,101.5599976,37.68000031,102.1299973,102.2300034,101.3899994,102.0199966,102.0199966,147896,38.72000122,37.59999847,38.38999939,34.14686203,6850400
